"GAMEID","WEEK","QTR","START","POS","DEF","PASSER","TARGET","AIR YARDS","NOTES","PlayIden","play_id"
4,1,4,"12:12","DAL","STL","P.NELSON","J.HEARD",31,NA,"4_4_12:12",10856
4,1,4,"11:27","DAL","STL","P.NELSON","L.DUNBAR",-4,NA,"4_4_11:27",17812
4,1,4,"10:24","DAL","STL","P.NELSON","J.FERGUSON",27,NA,"4_4_10:24",10883
4,1,4,"9:10","STL","DAL","J.TA'AMU","L.WASHINGTON",-1,NA,"4_4_9:10",23608
4,1,4,"8:48","STL","DAL","J.TA'AMU","D.PIERSON-EL",8,NA,"4_4_8:48",23610
4,1,4,"6:31","STL","DAL","J.TA'AMU","D.PIERSON-EL",-4,NA,"4_4_6:31",23613
4,1,4,"5:16","DAL","STL","P.NELSON","D.PARHAM",3,NA,"4_4_5:16",10974
4,1,4,"5:07","DAL","STL","P.NELSON","F.NAGEL",-4,NA,"4_4_5:07",23612
4,1,4,"4:22","DAL","STL","P.NELSON","J.HEARD",29,NA,"4_4_4:22",10989
4,1,4,"2:40","STL","DAL","J.TA'AMU","M.LUCAS",12,NA,"4_4_2:40",17810
4,1,4,"0:33","DAL","STL","P.NELSON","J.BADET",0,NA,"4_4_0:33",23611
4,1,4,"0:28","DAL","STL","P.NELSON","J.HEARD",9,NA,"4_4_0:28",17815
4,1,4,"0:23","DAL","STL","P.NELSON","J.HEARD",25,NA,"4_4_0:23",23606
5,2,1,"14:54","NY","DC","M.MCGLOIN","J.POWELL",0,NA,"5_1_14:54",18032
5,2,1,"14:18","NY","DC","M.MCGLOIN","T.COOK",3,NA,"5_1_14:18",11331
5,2,1,"13:48","NY","DC","M.MCGLOIN","J.HORN",12,NA,"5_1_13:48",11337
5,2,1,"13:13","DC","NY","C.JONES","E.ROGERS",20,NA,"5_1_13:13",18027
5,2,1,"10:20","DC","NY","C.JONES","E.ROGERS",-2,NA,"5_1_10:20",23655
5,2,1,"8:53","DC","NY","C.JONES","E.ROGERS",17,NA,"5_1_8:53",28557
5,2,1,"7:40","DC","NY","C.JONES","N/A",13,NA,"5_1_7:40",18060
5,2,1,"7:09","DC","NY","C.JONES","D.THOMPKINS",13,NA,"5_1_7:09",11426
5,2,1,"5:39","NY","DC","M.MCGLOIN","M.MCKAY",5,NA,"5_1_5:39",18020
5,2,1,"4:26","NY","DC","M.MCGLOIN","J.HORN",28,NA,"5_1_4:26",11472
5,2,1,"2:19","DC","NY","C.JONES","J.PRESSLEY",0,NA,"5_1_2:19",18041
5,2,1,"1:35","DC","NY","C.JONES","M.DUPRE",12,NA,"5_1_1:35",23652
5,2,2,"15:00","DC","NY","C.JONES","D.THOMPKINS",3,NA,"5_2_15:00",11834
5,2,2,"14:29","DC","NY","C.JONES","D.PUMPHREY",1,NA,"5_2_14:29",NA
5,2,2,"13:56","DC","NY","C.JONES","D.THOMPKIN",5,NA,"5_2_13:56",NA
5,2,2,"13:11","DC","NY","C.JONES","D.THOMPKINS",10,NA,"5_2_13:11",11578
5,2,2,"11:37","DC","NY","C.JONES","J.PRESSLEY",2,NA,"5_2_11:37",23653
5,2,2,"11:09","NY","DC","M.MCGLOIN","M.MCKAY",26,NA,"5_2_11:09",11615
5,2,2,"10:38","NY","DC","M.MCGLOIN","M.MCKAY",7,NA,"5_2_10:38",18064
5,2,2,"9:57","NY","DC","M.MCGLOIN","M.COLBURN",29,NA,"5_2_9:57",23636
5,2,2,"9:43","DC","NY","C.JONES","E.ROGERS",23,NA,"5_2_9:43",11640
5,2,2,"8:36","DC","NY","C.JONES","D.THOMPKINS",25,NA,"5_2_8:36",11652
5,2,2,"7:36","NY","DC","M.MCGLOIN","A.DUKE",31,NA,"5_2_7:36",11667
5,2,2,"5:48","NY","DC","M.MCGLOIN","M.COLBURN",2,NA,"5_2_5:48",NA
5,2,2,"5:16","NY","DC","M.MCGLOIN","N/A",-1,NA,"5_2_5:16",18051
5,2,2,"3:30","DC","NY","C.JONES","N.BROSSETTE",25,NA,"5_2_3:30",11730
5,2,2,"2:00","NY","DC","M.MCGLOIN","M.COLBURN",1,NA,"5_2_2:00",28567
5,2,2,"1:46","NY","DC","M.MCGLOIN","M.COLBURN",-3,NA,"5_2_1:46",18068
5,2,2,"1:15","DC","NY","C.JONES","R.ROSS",33,NA,"5_2_1:15",18029
5,2,2,"0:49","DC","NY","C.JONES","D.THOMPKINS",3,NA,"5_2_0:49",23647
5,2,2,"0:39","DC","NY","C.JONES","D.PUMPHREY",13,"off pbp has N/A","5_2_0:39",17999
5,2,2,"0:34","DC","NY","C.JONES","D.PUMPHREY",1,NA,"5_2_0:34",11803
5,2,2,"0:21","NY","DC","M.MCGLOIN","T.COOK",3,NA,"5_2_0:21",17984
5,2,3,"14:55","DC","NY","C.JONES","N/A",7,NA,"5_3_14:55",18067
5,2,3,"14:04","DC","NY","C.JONES","D.PUMPHREY",1,NA,"5_3_14:04",23646
5,2,3,"13:38","DC","NY","C.JONES","E.ROGERS",33,NA,"5_3_13:38",11873
5,2,3,"13:13","DC","NY","C.JONES","E.ROGERS",-3,NA,"5_3_13:13",18001
5,2,3,"12:32","DC","NY","C.JONES","K.LEE",-1,NA,"5_3_12:32",23640
5,2,3,"10:09","NY","DC","M.MCGLOIN","C.PEARSON",2,NA,"5_3_10:09",NA
5,2,3,"9:14","NY","DC","M.MCGLOIN","M.MCKAY",41,NA,"5_3_9:14",NA
5,2,3,"8:42","NY","DC","M.MCGLOIN","J.HORN",7,NA,"5_3_8:42",18014
5,2,3,"3:35","DC","NY","C.JONES","E.ROGERS",-3,NA,"5_3_3:35",18005
5,2,3,"2:21","DC","NY","C.JONES","M.DUPRE",12,NA,"5_3_2:21",23638
5,2,3,"1:38","NY","DC","M.MCGLOIN","T.COOK",-3,NA,"5_3_1:38",18033
5,2,3,"0:37","NY","DC","M.MCGLOIN","C.PEARSON",5,NA,"5_3_0:37",18002
5,2,4,"14:46","DC","NY","C.JONES","D.PUMPHREY",-5,"first pass","5_4_14:46",18034
5,2,4,"14:46","DC","NY","C.JONES","D.THOMPKINS",17,"second pass","5_4_14:46",18034
5,2,4,"14:07","DC","NY","C.JONES","R.ROSS",42,NA,"5_4_14:07",NA
5,2,4,"12:55","DC","NY","C.JONES","D.THOMPKINS",14,NA,"5_4_12:55",NA
5,2,4,"12:10","DC","NY","C.JONES","D.PUMPHREY",0,NA,"5_4_12:10",12362
5,2,4,"11:40","DC","NY","C.JONES","R.ROSS",16,NA,"5_4_11:40",17985
5,2,4,"11:05","DC","NY","C.JONES","D.THOMPKINS",7,NA,"5_4_11:05",23654
5,2,4,"10:05","DC","NY","C.JONES","D.PUMPHREY",0,NA,"5_4_10:05",NA
5,2,4,"8:22","DC","NY","C.JONES","R.ROSS",-1,NA,"5_4_8:22",NA
5,2,4,"7:40","DC","NY","C.JONES","E.ROGERS",9,NA,"5_4_7:40",12345
5,2,4,"6:11","NY","DC","M.WILLIAMS","C.PEARSON",36,NA,"5_4_6:11",12418
5,2,4,"5:50","NY","DC","M.WILLIAMS","M.MCKAY",6,NA,"5_4_5:50",18053
5,2,4,"5:20","NY","DC","M.WILLIAMS","E.BIBBS",2,NA,"5_4_5:20",17994
5,2,4,"4:36","NY","DC","M.WILLIAMS","C.PEARSON",5,NA,"5_4_4:36",12464
5,2,4,"3:29","NY","DC","M.WILLIAMS","M.MCKAY",34,NA,"5_4_3:29",NA
5,2,4,"2:02","DC","NY","C.JONES","R.ROSS",32,NA,"5_4_2:02",NA
5,2,4,"1:30","DC","NY","C.JONES","D.HAYWARD",6,NA,"5_4_1:30",NA
5,2,4,"0:37","NY","DC","M.WILLIAMS","T.REDDING",12,NA,"5_4_0:37",17995
5,2,4,"0:10","NY","DC","M.WILLIAMS","E.BIBBS",6,NA,"5_4_0:10",18007
5,2,4,"0:02","NY","DC","M.WILLIAMS","M.MCKAY",42,NA,"5_4_0:02",12679
6,2,1,"14:56","TB","SEA","T.CORNELIUS","R.HORN",12,NA,"6_1_14:56",12713
6,2,1,"13:50","TB","SEA","T.CORNELIUS","N.TRUESDELL",19,NA,"6_1_13:50",12724
6,2,1,"12:40","SEA","TB","B.SILVERS","K.REYNOLDS",6,NA,"6_1_12:40",17943
6,2,1,"10:05","TB","SEA","T.CORNELIUS","D.SMITH",4,NA,"6_1_10:05",12785
6,2,1,"9:19","TB","SEA","T.CORNELIUS","D.WILLIAMS",6,NA,"6_1_9:19",NA
6,2,1,"8:44","TB","SEA","T.CORNELIUS","J.TOLLIVER",31,NA,"6_1_8:44",28572
6,2,1,"8:25","SEA","TB","B.SILVERS","A.PROEHL",13,NA,"6_1_8:25",12815
6,2,1,"8:00","SEA","TB","B.SILVERS","D.BYRD",24,NA,"6_1_8:00",NA
6,2,1,"7:29","SEA","TB","B.SILVERS","K.REYNOLDS",21,NA,"6_1_7:29",12828
6,2,1,"6:23","TB","SEA","Q.FLOWERS","J.TOLLIVER",-3,NA,"6_1_6:23",17948
6,2,1,"5:00","TB","SEA","Q.FLOWERS","J.TOLLIVER",-3,NA,"6_1_5:00",NA
6,2,1,"3:51","TB","SEA","Q.FLOWERS","S.JONES",9,NA,"6_1_3:51",NA
6,2,1,"1:54","TB","SEA","Q.FLOWERS","R.HORN",4,NA,"6_1_1:54",12912
6,2,1,"0:09","SEA","TB","B.SILVERS","K.REYNOLDS",8,NA,"6_1_0:09",28590
6,2,2,"14:21","TB","SEA","T.CORNELIUS","R.HORN",-3,NA,"6_2_14:21",17939
6,2,2,"12:53","SEA","TB","B.SILVERS","K.REYNOLDS",7,NA,"6_2_12:53",28589
6,2,2,"10:50","SEA","TB","B.SILVERS","A.PROEHL",-3,NA,"6_2_10:50",NA
6,2,2,"10:15","SEA","TB","B.SILVERS","K.REYNOLDS",8,NA,"6_2_10:15",17982
