"DAL_Rating","DC_Rating","HOU_Rating","LA_Rating","NY_Rating","SEA_Rating","STL_Rating","TB_Rating","DAL_Wins","DC_Wins","HOU_Wins","LA_Wins","NY_Wins","SEA_Wins","STL_Wins","TB_Wins","WEST_REG_CHAMP","EAST_REG_CHAMP","WEST_RU","EAST_RU","XFL_RU","XFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4"
1481.00148944314,1472.5675781025,1590.68495473246,1504.95647070406,1508.30136734799,1403.33086687053,1546.33714937723,1492.82012342209,4,4,8,6,5,2,7,4,"HOU","STL","LA","NY","STL","HOU","NY","STL","HOU","LA"
1483.09450768995,1483.03981242379,1547.73940635688,1516.2950564829,1515.51614052604,1418.89207581454,1543.08352765403,1492.33947305187,4,5,7,5,5,3,7,4,"HOU","STL","HOU","DC","STL","LA","NY","STL","HOU","LA"
1444.37254399174,1566.2398627527,1570.29439189835,1456.57265982499,1498.12320090297,1451.21545028618,1491.08244518751,1522.09944515556,2,8,8,3,4,5,4,6,"HOU","DC","SEA","TB","HOU","DC","NY","DC","HOU","TB"
1543.50706586009,1434.49369654293,1563.1163619407,1472.93576445499,1514.54607803884,1402.85515934228,1552.19972686069,1516.34614695948,6,2,8,4,5,2,8,5,"HOU","STL","HOU","STL","TB","DAL","NY","STL","HOU","LA"
1494.76333346795,1434.09400754223,1591.60609913805,1476.40613931104,1496.58632632539,1437.83070148957,1534.21468935808,1534.4987033677,5,2,8,4,4,4,7,6,"HOU","STL","DAL","STL","TB","HOU","NY","STL","HOU","TB"
1481.93413246633,1470.19277699185,1584.72786262021,1498.48017042152,1521.51372967402,1419.94796942947,1471.03203658959,1552.17132180701,4,4,9,5,6,3,3,6,"HOU","NY","HOU","NY","LA","TB","NY","DC","HOU","LA"
1498.63193453621,1454.53372987787,1615.88910826607,1437.98877020495,1509.74950267275,1412.40203937913,1561.11735230472,1509.68756275829,5,3,10,2,5,3,7,5,"DAL","STL","SEA","NY","DAL","STL","NY","STL","HOU","TB"
1494.36417687266,1502.18043023118,1554.28348246408,1476.03237184893,1571.80147948109,1399.4503491163,1510.48524065342,1491.40246933235,5,6,7,4,7,2,5,4,"HOU","NY","DAL","DC","HOU","NY","NY","DC","HOU","TB"
1510.64741090707,1483.56451165176,1542.06432601367,1511.70062240935,1549.79672080852,1400.84028165214,1488.96475990912,1512.42136664837,6,5,6,6,6,2,4,5,"LA","NY","DAL","DC","LA","NY","NY","STL","HOU","TB"
1487.60149320713,1501.72087524803,1545.44609934696,1455.52721261256,1568.87964860057,1439.45285607619,1527.83335932168,1473.53845558687,4,6,7,3,7,4,6,3,"HOU","NY","HOU","DC","DAL","NY","NY","DC","HOU","TB"
1545.60336443224,1470.62156907866,1565.92886914051,1473.38059345082,1566.89193086629,1400.94343383392,1520.95045159399,1455.67978760357,6,4,8,4,8,2,6,2,"HOU","NY","HOU","STL","NY","DAL","NY","STL","HOU","LA"
1475.46420538637,1498.37188122148,1574.36825141835,1472.31800400025,1533.94575929913,1419.34755204268,1533.27467639989,1492.90967023187,4,6,7,4,6,3,6,4,"HOU","DC","DAL","DC","STL","HOU","NY","DC","HOU","LA"
1523.67267776408,1533.74092656682,1547.86517585505,1471.43133863711,1533.33706184452,1382.42093550259,1551.92795342864,1455.6039304012,6,8,7,4,6,1,6,2,"HOU","DC","HOU","DC","DAL","STL","NY","DC","HOU","LA"
