PlayID,GameID,DriveID,Sequence,TeamID,ClubCode,Quarter,StartTime,Down,Distance,Yardline,Situation,PlayType,StartHomeScore,StartAwayScore,IsScoringPlay,EndTime,EndHomeScore,EndAwayScore,ScoringPlayDescription,PlayDescription,ShortPlayDescription,FirstDownDescription,DriveTotalPossessionTime,DriveNetYards,DrivePlays,playScoreType,playScorer,playScoringTeamId,firstDownReset,Notes
14388,7,6161,45,600,DAL,2,8:47,2,10,DAL 30,2nd & 10 DAL 30,Pass,0,0,FALSE,8:21,0,0,,"(No Huddle, Shotgun) L.Jones pass incomplete short right to F.Nagel.",Incomplete pass,,2:42,14,5,,,0,FALSE,
14389,7,6161,46,600,DAL,2,8:21,3,10,DAL 30,3rd & 10 DAL 30,Pass,0,0,FALSE,8:00,0,0,,"(No Huddle, Shotgun) L.Jones pass short middle to D.Parham to DAL 41 for 11 yards (W.Smith) PENALTY on DAL. Holding, 10 yards, enforced to DAL 20.",10 yard penalty,,2:42,14,5,,,0,FALSE,
14392,7,6161,47,600,DAL,2,8:00,3,20,DAL 20,3rd & 20 DAL 20,Pass,0,0,FALSE,7:42,0,0,,"(No Huddle, Shotgun) L.Jones pass short left to J.Badet out of bounds at DAL 33 for 13 yards (A.Dixon)",13 yard pass,,2:42,14,5,,,0,FALSE,
14391,7,6161,48,600,DAL,2,7:42,4,7,DAL 33,4th & 7 DAL 33,Punt,0,0,FALSE,7:28,0,0,,"(Punt) D.Galitz punts, 38 yds to LA 29. L.Whitfield to LA 33 for 38 yards (C.Kuntz; T.Scales)",38 yard punt,,2:42,14,5,,,0,FALSE,
14501,7,6192,49,602,LA,2,7:28,1,10,LA 33,1st & 10 LA 33,Rush,0,0,FALSE,6:56,0,0,,(Shotgun) L.Rose rush right guard to LA 37 for 4 yards (T.Watson; F.Alexander),4 yard rush,,4:39,38,9,,,0,FALSE,
14502,7,6192,50,602,LA,2,6:56,2,6,LA 37,2nd & 6 LA 37,Rush,0,0,FALSE,6:16,0,0,,(Shotgun) L.Rose rush up the middle to LA 37 for 0 yards (J.Hawkins; T.Guerad),0 yard rush,,4:39,38,9,,,0,FALSE,
14504,7,6192,51,602,LA,2,6:16,3,6,LA 37,3rd & 6 LA 37,Pass,0,0,FALSE,5:40,0,0,,(Shotgun) J.Johnson pass short right to N.Spruce out of bounds at LA 43 for 6 yards (R.Cliett),6 yard pass,P5,4:39,38,9,,,0,FALSE,
14507,7,6192,52,602,LA,2,5:40,1,10,LA 43,1st & 10 LA 43,Pass,0,0,FALSE,5:15,0,0,,(Shotgun) J.Johnson pass short left to J.Smallwood out of bounds at DAL 45 for 12 yards (T.Decoud),12 yard pass,P6,4:39,38,9,,,0,TRUE,
14509,7,6192,53,602,LA,2,5:15,1,10,DAL 45,1st & 10 DAL 45,Rush,0,0,FALSE,4:43,0,0,,(Shotgun) E.Hood rush up the middle to DAL 34 for 11 yards (M.Abernathy; D.Brown),11 yard rush,R7,4:39,38,9,,,0,TRUE,
14511,7,6192,54,602,LA,2,4:43,1,10,DAL 34,1st & 10 DAL 34,Rush,0,0,FALSE,4:05,0,0,,(Shotgun) J.Johnson rush right end to DAL 36 for -2 yards (G.Robinson),-2 yard rush,,4:39,38,9,,,0,TRUE,
14513,7,6192,55,602,LA,2,4:05,2,12,DAL 36,2nd & 12 DAL 36,Pass,0,0,FALSE,3:21,0,0,,(Shotgun) J.Johnson pass short right to N.Spruce to DAL 29 for 7 yards (T.Watson),7 yard pass,,4:39,38,9,,,0,FALSE,
14515,7,6192,56,602,LA,2,3:21,3,5,DAL 29,3rd & 5 DAL 29,Pass,0,0,FALSE,2:54,0,0,,(Shotgun) J.Johnson pass incomplete short left to J.Greene.,Incomplete pass,,4:39,38,9,,,0,FALSE,
